"RuleID","Description","StartLine","EndLine","StartColumn","EndColumn","Match","Secret","File","SymlinkFile","Commit","Link","Entropy","Author","Email","Date","Message","Tags","Fingerprint"
"generic-api-key","Detected a Generic API Key, potentially exposing access to various services and sensitive operations.","2","2","2","41","API_KEY=abcd1234efgh5678ijkl9012mnop3456","abcd1234efgh5678ijkl9012mnop3456","Mongo-web/.env","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/.env#L2","4.625","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/.env:generic-api-key:2"
"generic-api-key","Detected a Generic API Key, potentially exposing access to various services and sensitive operations.","3","3","2","49","SECRET_KEY_BASE=0123456789abcdef0123456789abcdef","0123456789abcdef0123456789abcdef","Mongo-web/.env","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/.env#L3","4","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/.env:generic-api-key:3"
"generic-api-key","Detected a Generic API Key, potentially exposing access to various services and sensitive operations.","1","1","4","49","BITLY_TOKEN = 1234567890abcdef1234567890abcdef","1234567890abcdef1234567890abcdef","Mongo-web/Secrets/DummySecrets.txt","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/Secrets/DummySecrets.txt#L1","4","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/Secrets/DummySecrets.txt:generic-api-key:1"
"generic-api-key","Detected a Generic API Key, potentially exposing access to various services and sensitive operations.","4","4","2","37","MAILCHIMP_KEY = 1234567890abcdef-us1","1234567890abcdef-us1","Mongo-web/Secrets/DummySecrets.txt","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/Secrets/DummySecrets.txt#L4","4.221928","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/Secrets/DummySecrets.txt:generic-api-key:4"
"generic-api-key","Detected a Generic API Key, potentially exposing access to various services and sensitive operations.","6","6","2","49","PUSHER_SECRET = 1234567890abcdef1234567890abcdef","1234567890abcdef1234567890abcdef","Mongo-web/Secrets/DummySecrets.txt","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/Secrets/DummySecrets.txt#L6","4","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/Secrets/DummySecrets.txt:generic-api-key:6"
"generic-api-key","Detected a Generic API Key, potentially exposing access to various services and sensitive operations.","7","7","2","65","ONESIGNAL_KEY = NTZjNzMyYzUtMTIzNC00YWJlLTkwZWEtYWJjZGVmMTIzNDU2","NTZjNzMyYzUtMTIzNC00YWJlLTkwZWEtYWJjZGVmMTIzNDU2","Mongo-web/Secrets/DummySecrets.txt","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/Secrets/DummySecrets.txt#L7","4.4387217","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/Secrets/DummySecrets.txt:generic-api-key:7"
"algolia-api-key","Identified an Algolia API Key, which could result in unauthorized search operations and data exposure on Algolia-managed platforms.","2","2","2","53","ALGOLIA_ADMIN_KEY = 1234567890abcdef1234567890abcdef","1234567890abcdef1234567890abcdef","Mongo-web/Secrets/DummySecrets.txt","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/Secrets/DummySecrets.txt#L2","4","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/Secrets/DummySecrets.txt:algolia-api-key:2"
"generic-api-key","Detected a Generic API Key, potentially exposing access to various services and sensitive operations.","7","8","2","1","ONESIGNAL_KEY = 56c732c5-1234-4abe-90ea-abcdef123456","56c732c5-1234-4abe-90ea-abcdef123456","Mongo-web/Secrets/DummySecrets.txt","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/Secrets/DummySecrets.txt#L7-L8","3.8564746","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/Secrets/DummySecrets.txt:generic-api-key:7"
"gitlab-pat","Identified a GitLab Personal Access Token, risking unauthorized access to GitLab repositories and codebase exposure.","10","10","36","61","glpat-1234567890abcdefghij","glpat-1234567890abcdefghij","Mongo-web/Controllers/SecretController.cs","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/Controllers/SecretController.cs#L10","4.5465937","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/Controllers/SecretController.cs:gitlab-pat:10"
"private-key","Identified a Private Key, which may compromise cryptographic security and sensitive data encryption.","22","24","39","30","-----BEGIN RSA PRIVATE KEY-----
MIICWwIBAAKBgHABCDEFG1234567890ABCDEFGH1234567890ABCDEFGH12345
-----END RSA PRIVATE KEY-----","-----BEGIN RSA PRIVATE KEY-----
MIICWwIBAAKBgHABCDEFG1234567890ABCDEFGH1234567890ABCDEFGH12345
-----END RSA PRIVATE KEY-----","Mongo-web/Controllers/SecretController.cs","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/Controllers/SecretController.cs#L22-L24","4.6633444","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/Controllers/SecretController.cs:private-key:22"
"heroku-api-key","Detected a Heroku API Key, potentially compromising cloud application deployments and operational security.","13","13","21","73","herokuApiKey = ""3a1a1234-567b-89cd-ef01-23456789abcd""","3a1a1234-567b-89cd-ef01-23456789abcd","Mongo-web/Controllers/SecretController.cs","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/Controllers/SecretController.cs#L13","3.9959066","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/Controllers/SecretController.cs:heroku-api-key:13"
"generic-api-key","Detected a Generic API Key, potentially exposing access to various services and sensitive operations.","12","12","25","64","Key: dd1234567890abcdef1234567890abcdef ","dd1234567890abcdef1234567890abcdef","Mongo-web/Views/Home/Index.cshtml","","3eb686cd9c518b24899a2239ef7e46365bf521d5","https://github.com/Shekharjadi/Mongo/blob/3eb686cd9c518b24899a2239ef7e46365bf521d5/Mongo-web/Views/Home/Index.cshtml#L12","3.9698157","Mande P","mande20252025@outlook.com","2025-12-06T09:25:39Z","added secretes in controllers, configuration files, environment files, views, JavaScript, CSS,  and miscellaneous text files","System.Object[]","3eb686cd9c518b24899a2239ef7e46365bf521d5:Mongo-web/Views/Home/Index.cshtml:generic-api-key:12"
